Epoch 241/1000 | Loss: 0.0187 | Precision: 0.8261 | Recall: 0.6549 | F1: 0.7094
Epoch 242/1000 | Loss: 0.0186 | Precision: 0.8276 | Recall: 0.6550 | F1: 0.7100
Epoch 243/1000 | Loss: 0.0187 | Precision: 0.8262 | Recall: 0.6540 | F1: 0.7087
Epoch 244/1000 | Loss: 0.0186 | Precision: 0.8285 | Recall: 0.6577 | F1: 0.7132
Epoch 245/1000 | Loss: 0.0187 | Precision: 0.8283 | Recall: 0.6555 | F1: 0.7106
Epoch 246/1000 | Loss: 0.0187 | Precision: 0.8299 | Recall: 0.6551 | F1: 0.7108
Epoch 247/1000 | Loss: 0.0186 | Precision: 0.8294 | Recall: 0.6589 | F1: 0.7133
Epoch 248/1000 | Loss: 0.0186 | Precision: 0.8298 | Recall: 0.6591 | F1: 0.7137
Epoch 249/1000 | Loss: 0.0186 | Precision: 0.8307 | Recall: 0.6576 | F1: 0.7123
Epoch 250/1000 | Loss: 0.0187 | Precision: 0.8312 | Recall: 0.6575 | F1: 0.7131
Epoch 251/1000 | Loss: 0.0186 | Precision: 0.8328 | Recall: 0.6608 | F1: 0.7154
Epoch 252/1000 | Loss: 0.0186 | Precision: 0.8319 | Recall: 0.6581 | F1: 0.7131
Epoch 253/1000 | Loss: 0.0186 | Precision: 0.8273 | Recall: 0.6574 | F1: 0.7121
Epoch 254/1000 | Loss: 0.0186 | Precision: 0.8297 | Recall: 0.6576 | F1: 0.7123
Epoch 255/1000 | Loss: 0.0186 | Precision: 0.8303 | Recall: 0.6577 | F1: 0.7129
Epoch 256/1000 | Loss: 0.0187 | Precision: 0.8315 | Recall: 0.6577 | F1: 0.7131
Epoch 257/1000 | Loss: 0.0185 | Precision: 0.8291 | Recall: 0.6589 | F1: 0.7138
Epoch 258/1000 | Loss: 0.0186 | Precision: 0.8320 | Recall: 0.6587 | F1: 0.7138
Epoch 259/1000 | Loss: 0.0185 | Precision: 0.8337 | Recall: 0.6608 | F1: 0.7160
